epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2106.21,0.66613,0.42451,0.8607,0.19721,0.22586,0.18927,0.12374,1.20799,1.94291,1.17768,0.0095941,0.0095941,0.0095941
43,2155.05,0.66505,0.42451,0.85692,0.1933,0.21905,0.1843,0.11978,1.21117,1.96329,1.18059,0.0095842,0.0095842,0.0095842
44,2207.34,0.66358,0.41792,0.85593,0.20517,0.21065,0.18823,0.12275,1.20438,1.97228,1.19438,0.0095743,0.0095743,0.0095743
45,2259.87,0.66046,0.4132,0.8568,0.191,0.21043,0.17223,0.11275,1.16607,2.00621,1.16229,0.0095644,0.0095644,0.0095644
46,2310.76,0.65587,0.41638,0.85272,0.2031,0.22009,0.18742,0.12057,1.17493,1.80528,1.15765,0.0095545,0.0095545,0.0095545
47,2362.62,0.65532,0.4127,0.85443,0.20659,0.23335,0.19864,0.12975,1.17723,1.95469,1.16398,0.0095446,0.0095446,0.0095446
48,2415.23,0.65203,0.4121,0.85432,0.19404,0.21008,0.16283,0.10568,1.17889,2.18881,1.14895,0.0095347,0.0095347,0.0095347
49,2463.9,0.63717,0.40267,0.85077,0.19319,0.21552,0.17547,0.11463,1.26531,2.16444,1.17545,0.0095248,0.0095248,0.0095248
50,2511.39,0.6464,0.41233,0.85628,0.21124,0.22996,0.19786,0.1281,1.21744,1.86215,1.16682,0.0095149,0.0095149,0.0095149
51,2559.38,0.6435,0.4064,0.85602,0.20635,0.23774,0.19991,0.13335,1.1391,1.88346,1.13186,0.009505,0.009505,0.009505
52,2608.98,0.65111,0.41164,0.85392,0.20299,0.2277,0.1861,0.12049,1.21812,1.86793,1.18054,0.0094951,0.0094951,0.0094951
53,2656.33,0.64716,0.40821,0.84978,0.18254,0.21253,0.16466,0.10946,1.19878,2.2766,1.15315,0.0094852,0.0094852,0.0094852
54,2704.3,0.6441,0.40361,0.85174,0.19517,0.21455,0.18442,0.11944,1.21003,2.14043,1.15872,0.0094753,0.0094753,0.0094753
55,2756.02,0.63056,0.39854,0.84896,0.19696,0.21758,0.1806,0.11762,1.19307,2.0643,1.15182,0.0094654,0.0094654,0.0094654
56,2803.48,0.63348,0.40319,0.8501,0.19427,0.21983,0.17811,0.11805,1.20267,2.13519,1.17405,0.0094555,0.0094555,0.0094555
57,2855.78,0.63307,0.40052,0.84795,0.19193,0.20917,0.16977,0.11121,1.24254,2.18148,1.19252,0.0094456,0.0094456,0.0094456
58,2903.22,0.62377,0.39499,0.84692,0.20366,0.2143,0.18315,0.11824,1.23798,2.19996,1.2007,0.0094357,0.0094357,0.0094357
59,2951.41,0.61605,0.3911,0.8461,0.19625,0.22654,0.18195,0.11989,1.18649,2.11826,1.17392,0.0094258,0.0094258,0.0094258
60,2998.92,0.6234,0.39263,0.85114,0.20971,0.2257,0.19325,0.12727,1.17374,1.97622,1.16674,0.0094159,0.0094159,0.0094159
61,3047.1,0.62233,0.39213,0.84988,0.21221,0.2278,0.1968,0.13011,1.1501,1.76459,1.14039,0.009406,0.009406,0.009406
62,3098.11,0.62014,0.38809,0.84427,0.20612,0.20908,0.17843,0.12058,1.15934,2.35347,1.1564,0.0093961,0.0093961,0.0093961
63,3145.74,0.61912,0.39115,0.84486,0.22541,0.21814,0.20457,0.1373,1.16406,1.97311,1.16756,0.0093862,0.0093862,0.0093862
64,3193.53,0.61489,0.38716,0.84429,0.20762,0.22972,0.19606,0.12943,1.18319,1.95245,1.1572,0.0093763,0.0093763,0.0093763
